Table 6-28:  Quantitative Uncertainty Estimates for Forest C Pool Stock Changes (MMT CO2 Eq. per Year) in 2017 from Land Converted to Forest Land by Land Use Change,,,,,
Land Use/Carbon Pool,2017 Flux Estimate,Uncertainty Range Relative to Flux Rangea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),(MMT CO2 Eq.),(%),(%)
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Cropland Converted to Forest Land,-48,-56.8,-39.2,-18%,18%
   Aboveground Biomass,-27.2,-35.8,-18.6,-32%,32%
   Belowground Biomass ,-5.4,-6.5,-4.3,-20%,20%
   Dead Wood,-6.2,-7.4,-5,-19%,20%
   Litter,-9.1,-10.2,-8.1,-12%,12%
  Mineral Soils ,-0.1,-0.2,+,-164%,159%
Grassland Converted to Forest Land,-11.2,-13.5,-8.8,21%,21%
  Aboveground Biomass,-5.7,-7.1,-4.3,-25%,25%
  Belowground Biomass ,-0.9,-1.2,-0.6,-31%,31%
  Dead Wood,-0.7,-0.8,-0.5,-22%,22%
  Litter,-4.1,-4.7,-3.6,-13%,13%
  Mineral Soils ,0.2,0.1,0.5,-73%,78%
Other Lands Converted to Forest Land,-18.3,-20.6,-16,-13%,13%
  Aboveground Biomass,-9.2,-11.3,-7.1,-23%,23%
  Belowground Biomass ,-1.7,-2.2,-1.3,-25%,25%
  Dead Wood,-2.4,-2.9,-1.8,-24%,24%
  Litter,-5,-5.6,-4.3,-13%,13%
  Mineral Soils ,+,+,+,-85%,98%
Settlements Converted to Forest Land,-41.7,-48.2,-35.2,-16%,16%
  Aboveground Biomass,-25.1,-31.2,-18.9,-25%,25%
  Belowground Biomass ,-4.9,-6.2,-3.6,-27%,27%
  Dead Wood,-4.8,-6,-3.7,-24%,24%
  Litter,-6.7,-7.6,-5.8,-14%,14%
  Mineral Soils ,-0.2,-0.2,-0.1,-23%,20%
Wetlands Converted to Forest Land,-1.5,-1.7,-1.3,-11%,11%
  Aboveground Biomass,-0.7,-0.9,-0.6,-20%,20%
  Belowground Biomass ,-0.1,-0.2,-0.1,-22%,22%
  Dead Wood,-0.2,-0.2,-0.1,-27%,27%
  Litter,-0.5,-0.5,-0.4,-13%,13%
  Mineral Soils ,+,+,+,-84%,95%
Total: Aboveground Biomass,-67.9,-78.8,-57,-16%,16%
Total: Belowground Biomass ,-13.1,-14.9,-11.3,-14%,14%
Total: Dead Wood,-14.3,-16.1,-12.5,-12%,12%
Total: Litter,-25.5,-27.1,-23.8,-6%,6%
Total: Mineral Soils,0.1,-0.2,0.3,-358%,372%
Total: Lands Converted to Forest Lands,-120.6,-131.9,-109.3,-9%,9%
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of flux estimate for 95 percent confidence interval,,,,,
Note: Parentheses indicate net uptake.,,,,,
