Table 6-29:  Recalculations of the Net C Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT C),,,
Conversion category,"2016 Estimate, Previous Inventory ","2016 Estimate, Current Inventory","2017 Estimate, Current Inventory"
and Carbon pool (MMT C),,,
Cropland Converted to Forest Land,-3.2,-13.1,-13.1
Aboveground Biomass,-1.3,-7.4,-7.4
Belowground Biomass,-0.1,-1.5,-1.5
Dead Wood,-0.7,-1.7,-1.7
Litter,-1.1,-2.5,-2.5
Mineral soil,+,+,+
Grassland Converted to Forest Land,-13.7,-3,-3
Aboveground Biomass,-7,-1.5,-1.5
Belowground Biomass,1.6,-0.3,-0.3
Dead Wood,-3.1,-0.2,-0.2
Litter,-5.2,-1.1,-1.1
Mineral soil,+,0.1,0.1
Other Land Converted to Forest Land,-2.5,-5,-5
Aboveground Biomass,-1.1,-2.5,-2.5
Belowground Biomass,-0.2,-0.5,-0.5
Dead Wood,-0.4,-0.6,-0.6
Litter,-0.7,-1.4,-1.4
Mineral soil,+,+,+
Settlements Converted to Forest Land,-0.5,-11.4,-11.4
Aboveground Biomass,-0.2,-6.8,-6.8
Belowground Biomass,0,-1.3,-1.3
Dead Wood,-0.1,-1.3,-1.3
Litter,-0.1,-1.8,-1.8
Mineral soil,+,+,+
Wetlands Converted to Forest Land,-0.6,-0.4,-0.4
Aboveground Biomass,-0.28,-0.19,-0.19
Belowground Biomass,-0.05,-0.04,-0.04
Dead Wood,-0.09,-0.04,-0.04
Litter,-0.19,-0.13,-0.13
Mineral soil,+,+,+
Total Aboveground Biomass Flux,-9.9,-18.5,-18.5
Total Belowground Biomass Flux,1.2,-3.6,-3.6
Total Dead Wood Flux,-4.3,-3.9,-3.9
Total Litter Flux,-7.4,-6.9,-6.9
Total SOC (mineral) Flux,+,+,+
Total Flux,-20.5,-32.9,-32.9
+ Absolute value does not exceed 0.05 MMT C.,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake.,,,
