"Table 6-43:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Grassland (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cropland Converted to Grassland,-7.5,-7.6,-7.2,-7.9,-9.8,-8.6,-9.6,-9.4,-10.5,-10.8,-12.8,-11.9,-12.2,-12.0,-11.4,-11.5,-13.0,-11.4,-11.2,-10.9,-10.9,-11.0,-11.3,-8.1,-8.4,-6.2,-7.5,-7.6
Mineral Soils,-8.0,-8.1,-7.7,-8.5,-10.5,-9.3,-10.3,-10.1,-11.3,-11.7,-13.7,-12.9,-13.3,-13.0,-12.6,-12.7,-14.1,-12.5,-12.3,-12.0,-12.1,-12.2,-12.4,-9.3,-9.5,-7.4,-8.6,-8.7
Organic Soils,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.9,0.8,0.9,1.0,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Forest Land Converted to Grassland,17.0,17.0,17.1,17.1,17.2,17.2,17.3,17.3,17.3,17.3,17.4,17.5,17.6,17.7,17.8,18.0,18.1,18.3,18.4,18.5,18.5,18.6,18.7,16.3,16.1,15.9,15.9,15.8
Aboveground Live Biomass,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
Belowground Live Biomass,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Dead Wood,-1.6,-1.6,-1.6,-1.6,-1.6,-1.5,-1.5,-1.5,-1.5,-1.4,-1.4,-1.4,-1.4,-1.3,-1.3,-1.3,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.0,-1.0,-0.9,-0.9,-0.9,-0.9
Litter,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Mineral Soils,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.5,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-2.7,-2.9,-3.1,-3.1,-3.2
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other Lands Converted Grassland,-0.5,-0.5,-0.5,-0.6,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-1.1,-1.1,-1.1,-1.0,-1.0,-1.0,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,+,-0.1,-0.1,-0.1,-0.1
Mineral Soils,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8,-0.9,-1.0,-1.1,-1.2,-1.1,-1.0,-1.1,-1.1,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.1,-0.1,-0.1,-0.1,-0.1
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,+ ,+ ,+ ,+
Settlements Converted Grassland,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+
Mineral Soils,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+
Wetlands Converted Grassland,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1
