"Table 6-44:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Grassland (MMT C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cropland Converted to Grassland,-2.0,-2.1,-2.0,-2.2,-2.7,-2.3,-2.6,-2.6,-2.9,-3.0,-3.5,-3.2,-3.3,-3.3,-3.1,-3.1,-3.6,-3.1,-3.1,-3.0,-3.0,-3.0,-3.1,-2.2,-2.3,-1.7,-2.0,-2.1
Mineral Soils,-2.2,-2.2,-2.1,-2.3,-2.9,-2.5,-2.8,-2.7,-3.1,-3.2,-3.7,-3.5,-3.6,-3.6,-3.4,-3.5,-3.9,-3.4,-3.4,-3.3,-3.3,-3.3,-3.4,-2.5,-2.6,-2.0,-2.3,-2.4
Organic Soils,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Forest Land Converted to Grassland,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9,5.0,5.0,5.0,5.1,5.1,5.1,4.4,4.4,4.3,4.3,4.3
    Aboveground Live Biomass,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
    Belowground Live Biomass,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
    Dead Wood ,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
    Litter ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Mineral Soils,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.7,-0.8,-0.8,-0.9,-0.9
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+
Other Lands Converted Grassland,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,(+),(+),(+),(+),(+)
Mineral Soils,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,(+),(+),(+),(+),(+)
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+
Settlements Converted Grassland,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),+,+,+,+,+
Mineral Soils,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
