Table 6-67:  Approach 1 Quantitative Uncertainty Estimates for C Stock Changes occurring within Land Converted to Vegetated Coastal Wetlands (MMT CO2 Eq. and Percent),,,,,
,,,,,
Source,2017 Estimate,Uncertainty Range Relative to Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),(MMT CO2 Eq.),(%),(%)
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Soil C Stock Change,-0.01,-0.01,-0.01,-29.50%,29.50%
Aboveground Biomass C Stock Change,-0.03,-0.03,-0.03,-16.50%,16.50%
Methane Emissions,0.01,0.01,0.02,-29.80%,29.80%
Total Uncertainty,-0.03,-0.04,-0.02,-38.50%,38.50%
a Range of flux estimates based on error propagation at 95 percent confidence interval. ,,,,,
Note: Totals may not sum due to independent rounding.,,,,,
