Table 6-7:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use & Land-Use Change Categoriesa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013b,2014b,2015b,2016b,2017b
,Total Forest Land,"277,653","277,757","277,862","277,965","278,067","278,168","278,269","278,390","278,499","278,604","278,704","278,394","278,517","278,620","276,402","276,728","277,048","277,369","277,716","278,059","278,396","278,599","278,808","278,978","279,072","279,036","278,949","278,889"
,FF,"276,298","276,402","276,510","276,658","276,744","276,836","276,926","277,033","277,138","277,214","277,304","276,932","277,050","277,155","274,933","275,267","275,590","275,909","276,232","276,559","276,865","277,068","277,275","277,444","277,575","277,736","277,674","277,615"
,CF,205,203,202,186,183,184,185,185,192,203,206,207,206,204,195,180,176,172,168,168,169,166,164,164,162,150,149,149
,GF,"1,066","1,065","1,060","1,032","1,047","1,055","1,063","1,075","1,061","1,071","1,075","1,134","1,136","1,131","1,142","1,105","1,103","1,106","1,128","1,142","1,168","1,170","1,172","1,172","1,144",973,953,953
,WF,15,15,16,17,19,20,21,21,25,24,24,24,24,24,24,47,48,49,49,49,49,48,49,49,48,47,47,47
,SF,10,11,11,11,11,10,10,10,10,10,10,11,11,11,11,11,12,12,13,13,14,15,16,16,15,15,14,14
,OF,58,61,62,60,64,63,64,65,73,82,84,87,90,97,97,117,119,121,125,129,132,132,133,133,128,117,111,111
,Total Cropland,"174,427","174,317","174,120","173,658","173,266","172,864","172,564","172,139","169,306","168,900","168,618","168,067","167,759","167,105","165,966","165,600","165,201","164,906","164,429","164,012","163,566","163,281","163,056","163,056","163,056","163,064","163,065","163,065"
,CC,"162,058","161,605","161,133","159,399","157,799","157,213","156,636","156,022","151,899","151,096","150,933","150,553","150,374","151,009","150,925","150,596","150,302","150,545","150,647","150,824","150,412","149,999","149,723","149,723","149,725","149,737","149,737","149,737"
,FC,197,192,185,174,174,167,163,159,140,144,135,125,115,105,89,83,82,76,71,69,72,71,75,75,73,69,69,69
,GC,"11,754","12,097","12,362","13,597","14,748","14,932","15,210","15,391","16,693","17,077","16,914","16,752","16,654","15,423","14,425","14,418","14,311","13,803","13,257","12,694","12,660","12,781","12,827","12,827","12,827","12,827","12,827","12,827"
,WC,150,150,153,180,208,210,211,214,216,217,219,219,220,205,191,176,174,159,143,126,125,127,128,128,128,128,128,128
,SC,76,77,81,86,89,89,88,88,101,101,102,106,109,94,82,85,86,90,80,73,78,85,91,91,91,91,91,91
,OC,192,195,206,222,248,253,256,265,257,265,314,313,287,268,255,243,245,233,230,226,219,218,213,213,213,213,213,213
,Total Grassland,"338,955","338,527","338,232","338,165","338,033","337,781","337,342","337,109","339,205","338,957","338,826","339,268","339,100","338,936","341,812","341,233","340,806","340,331","340,079","339,844","339,622","339,394","339,020","338,881","338,818","338,875","338,970","339,042"
,GG,"329,268","328,707","328,203","326,715","325,269","324,749","324,134","323,636","322,108","321,448","320,726","320,455","319,956","320,239","320,050","319,686","319,143","318,925","319,034","319,052","318,598","318,176","317,879","317,739","317,684","317,750","317,850","317,922"
,FG,693,677,663,641,650,641,627,618,612,606,606,614,614,601,"3,181","3,210","3,210","3,210","3,203","3,209","3,220","3,220","3,225","3,225","3,218","3,208","3,204","3,204"
,CG,"8,309","8,406","8,545","9,879","11,066","11,302","11,462","11,680","15,197","15,573","16,031","16,673","16,991","16,579","17,017","16,825","16,914","16,633","16,339","16,124","16,359","16,572","16,555","16,555","16,555","16,555","16,555","16,555"
,WG,231,271,328,352,372,378,382,387,441,442,452,455,454,447,462,429,434,433,366,322,291,253,199,199,199,199,199,199
,SG,53,56,57,67,75,77,85,87,92,98,101,107,113,105,105,106,110,113,110,105,108,111,114,114,114,114,114,114
,OG,400,411,436,512,601,633,652,701,755,791,910,964,972,965,998,976,995,"1,016","1,028","1,032","1,047","1,061","1,048","1,048","1,048","1,048","1,048","1,048"
,Total Wetlands,"43,583","43,574","43,552","43,517","43,495","43,504","43,541","43,560","43,561","43,563","43,494","43,442","43,416","43,470","43,345","43,338","43,271","43,219","43,131","43,047","42,989","42,942","42,940","42,908","42,893","42,874","42,861","42,849"
,WW,"42,824","42,786","42,761","42,642","42,536","42,485","42,442","42,398","42,243","42,192","42,075","41,976","41,888","41,913","41,758","41,945","41,882","41,861","41,796","41,733","41,699","41,699","41,723","41,691","41,677","41,661","41,648","41,636"
,FW,47,50,50,47,47,47,54,55,53,55,57,60,62,63,75,70,71,71,71,72,73,73,72,72,70,68,68,68
,CW,214,228,246,271,305,326,353,371,384,405,421,432,458,455,449,378,372,367,361,358,349,340,346,346,346,346,346,346
,GW,452,462,450,510,555,590,635,679,809,837,865,898,929,959,934,835,835,808,793,775,759,727,700,700,700,700,700,700
,SW,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,OW,41,43,39,42,48,50,52,52,71,74,75,77,79,79,128,110,111,111,110,108,107,103,98,98,98,98,98,98
,Total Settlements,"33,361","33,743","34,104","34,597","35,085","35,599","36,124","36,602","37,151","37,626","38,072","38,466","38,816","39,355","39,901","40,429","40,929","41,366","41,833","42,230","42,623","42,972","43,307","43,308","43,291","43,271","43,270","43,270"
,SS,"30,471","30,470","30,473","30,458","30,444","30,442","30,437","30,436","30,488","30,480","30,476","30,467","30,460","30,955","31,448","31,981","32,488","32,952","33,553","34,128","34,698","35,282","35,849","35,849","35,850","35,850","35,851","35,851"
,FS,330,351,370,357,364,382,396,411,439,471,484,516,532,547,562,572,578,582,591,605,620,618,607,607,589,569,568,568
,CS,"1,247","1,413","1,555","1,809","2,055","2,302","2,535","2,765","2,955","3,148","3,332","3,493","3,632","3,598","3,594","3,550","3,517","3,491","3,414","3,307","3,200","3,082","2,982","2,982","2,982","2,982","2,982","2,982"
,GS,"1,250","1,436","1,627","1,875","2,110","2,343","2,610","2,832","3,095","3,341","3,579","3,782","3,976","4,037","4,079","4,102","4,113","4,106","4,042","3,963","3,884","3,774","3,653","3,653","3,653","3,653","3,653","3,653"
,WS,6,6,6,8,9,13,13,15,17,19,23,24,25,25,27,25,26,26,27,27,26,26,26,26,26,26,26,26
,OS,58,66,73,91,103,116,133,144,157,167,179,183,191,192,193,199,207,208,205,201,195,189,190,190,190,190,190,190
,Total Other Land,"21,945","22,004","22,055","22,020","21,976","22,007","22,082","22,122","22,199","22,269","22,207","22,283","22,313","22,434","22,489","22,585","22,654","22,717","22,715","22,708","22,701","22,709","22,764","22,764","22,765","22,775","22,780","22,780"
,OO,"21,026","21,013","20,996","20,946","20,879","20,857","20,838","20,811","20,752","20,759","20,708","20,687","20,681","20,759","20,672","20,737","20,733","20,710","20,710","20,714","20,760","20,750","20,772","20,771","20,776","20,787","20,793","20,793"
,FO,51,50,52,45,47,50,54,54,58,62,67,69,69,71,75,77,77,81,83,84,88,90,90,90,86,85,84,84
,CO,300,330,365,372,381,398,426,445,474,485,455,493,509,527,558,613,651,696,699,677,681,678,679,679,679,679,679,679
,GO,481,521,542,559,578,612,675,723,808,856,869,923,942,964,"1,008",982,"1,014","1,051","1,047","1,057","1,048","1,070","1,109","1,109","1,109","1,109","1,109","1,109"
