"Table 7-12:  U.S. Pulp and Paper, Meat, Poultry, Vegetables, Fruits and Juices, Ethanol, Breweries, and Petroleum Refining Production (MMT)",,,,,,,,,,,,
,,,,,,,,,,,,
,Year,Pulp and Papera,Meat,Poultry,"Vegetables, Fruits and Juices",Ethanol,Breweries,Petroleum Refining,,,,
,,,(Live Weight Killed),(Live Weight Killed),,,,,,,,
,1990,82.5,27.3,14.6,38.7,2.5,23.9,702.4,,,,
,1991,83.6,27.9,15.4,40.9,2.6,23.7,701.6,,,,
,1992,86.1,28.8,16.3,40.5,2.9,23.7,710.1,,,,
,1993,88,28.8,17,43.4,3.4,23.8,726,,,,
,1994,93.1,30,18.1,47.2,3.8,23.7,726.2,,,,
,1995,96.8,30.8,18.9,46.9,4.1,23.4,735.6,,,,
,1996,95,30.6,19.9,47.8,3.2,23.6,752.8,,,,
,1997,99.7,30.5,20.4,48.7,3.8,23.3,770.7,,,,
,1998,97.5,31.4,20.7,47.6,4.2,23.3,783.2,,,,
,1999,98,32.2,21.8,48.7,4.4,23.3,781.3,,,,
,2000,94,32.1,22.2,50.9,4.9,23.4,795.2,,,,
,2001,88.7,31.6,22.8,45,5.3,23.4,794.9,,,,
,2002,89.2,32.7,23.5,47.7,6.4,23.5,794.4,,,,
,2003,88.4,32.3,23.7,44.7,8.4,22.9,804.2,,,,
,2004,90,31.2,24.4,47.8,10.2,23.2,821.5,,,,
,2005,91.8,31.4,25.1,42.9,11.7,23.1,818.6,,,,
,2006,92.3,32.5,25.5,42.9,14.6,23.2,826.7,,,,
,2007,92.3,33.4,26,44.7,19.5,23.2,827.6,,,,
,2008,88.3,34.4,26.5,45.1,27.8,23.4,836.8,,,,
,2009,78.9,33.8,25.2,46.5,32.7,23.1,822.4,,,,
,2010,83.7,33.7,25.9,43.2,39.7,22.9,848.6,,,,
,2011,84.6,33.8,26.2,44.3,41.6,22.6,858.8,,,,
,2012,82.9,33.8,26.1,45.6,39.5,23.0,856.1,,,,
,2013,79.9,33.6,26.5,45.1,39.7,22.5,878.7,,,,
,2014,80.9,32.2,26.9,45.3,42.8,22.5,903.9,,,,
,2015,80.9,32.8,27.7,44.6,44.2,22.4,914.5,,,,
,2016,79.9,34.2,28.3,43.2,45.8,22.3,926,,,,
,2017,79.9,35.4,28.9,42.6,47.2,21.8,934.1,,,,
,a Pulp and paper production is the sum of market pulp production plus paper and paperboard production.,,,,,,,,,,,
,Sources: FAO (2018a) and FAO (2018b); USDA (2018a); Cooper (2018); Beer Institute (2011) and TTB (2018); EIA (2018).,,,,,,,,,,,
