"Table 7-16:  U.S. Population (Millions), Population Served by Biological Denitrification (Millions), Fraction of Population Served by Wastewater Treatment (percent), Available Protein (kg/person-year), Protein Consumed (kg/person-year), and Nitrogen Removed with Sludge (kt-N/year)",,,,,,
,,,,,,
Year,Population,PopulationND,WWTP Population,Available Protein,Protein Consumed,N Removed with Sludge
1990,253,2.0,75.6,43.1,33.2,214.2
1991,257,2.0,75.5,43.5,33.5,217.0
1992,260,2.0,75.7,43.8,33.8,219.9
1993,264,2.1,75.8,43.8,33.8,222.7
1994,267,2.3,76.0,44.6,34.3,225.6
1995,270,2.4,76.1,44.2,34.0,228.4
1996,273,2.6,76.2,44.6,34.3,237.0
1997,277,2.6,76.3,44.2,34.0,240.6
1998,280,2.6,76.7,44.6,34.3,244.1
1999,283,2.6,77.0,45.3,34.9,245.8
2000,286,2.6,77.4,45.3,34.9,247.4
2001,289,2.6,77.8,44.6,34.3,249.1
2002,292,2.5,78.1,44.9,34.6,250.7
2003,294,2.5,78.3,45.3,34.9,252.4
2004,297,2.4,78.6,45.7,35.3,254.0
2005,300,7.1,78.8,44.9,34.7,261.1
2006,303,11.9,79.1,45.3,35.0,264.2
2007,305,16.6,79.4,44.9,34.6,267.2
2008,308,21.3,79.4,44.2,34.0,270.3
2009,311,21.3,79.3,43.8,33.7,273.4
2010,313,21.3,80.0,43.8,33.7,276.4
2011,316,21.3,80.6,42.9,33.1,279.5
2012,318,21.3,81.0,43.3,33.4,282.6
2013,320,19.8,81.4,43.3,33.4,285.6
2014,322,20.8,80.8,44.3,34.1,288.7
2015,325,21.8,80.2,44.3,34.1,291.8
2016,327,22.8,81.4,44.3,34.1,294.8
2017,330,23.8,81.7,44.3,34.1,297.9
"Sources: Population: U.S. Census Bureau (2018); PopulationND: EPA (1992), EPA (1996), EPA (2000), EPA (2004), EPA (2008b), EPA (2012); WWTP Population: U.S. Census Bureau (2015); Available Protein: USDA (2018b); N Removed with sludge: Beecher et al. (2007), McFarland (2001), EPA (1999), EPA (1993c).",,,,,,
