Table 7-6:  Materials Discardeda in the Municipal Waste Stream by Waste Type from 1990 to 2015 (Percent)b,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waste Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Paper and Paperboard,30%,33%,34%,36%,35%,34%,32%,34%,34%,36%,35%,31%,32%,30%,31%,24%,29%,26%,24%,18%,15%,17%,13%,14%,14%,13%
,Glass,6%,7%,7%,7%,7%,7%,6%,6%,7%,7%,7%,7%,7%,7%,7%,6%,7%,7%,6%,6%,5%,6%,5%,5%,5%,5%
,Metals,7%,8%,8%,7%,7%,7%,7%,7%,7%,8%,8%,8%,8%,9%,9%,8%,9%,10%,10%,10%,8%,10%,8%,9%,10%,10%
,Plastics,9%,12%,12%,13%,13%,12%,13%,14%,15%,16%,17%,16%,18%,18%,19%,16%,19%,20%,19%,19%,17%,20%,17%,17%,19%,19%
,Rubber and Leather,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,3%,4%,4%,4%,4%,3%,4%,3%,3%,3%,3%
,Textiles,3%,4%,4%,4%,4%,4%,5%,5%,5%,5%,6%,6%,6%,6%,6%,5%,7%,7%,7%,8%,6%,8%,6%,7%,7%,8%
,Wood,7%,8%,8%,8%,8%,8%,7%,8%,8%,8%,8%,8%,8%,9%,9%,7%,9%,9%,9%,9%,8%,9%,7%,7%,8%,8%
,Otherd,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
,Food Scraps,14%,9%,14%,9%,14%,15%,15%,17%,17%,17%,20%,18%,19%,19%,20%,18%,21%,22%,22%,23%,20%,24%,19%,19%,22%,22%
,Yard Trimmings,18%,21%,20%,18%,16%,14%,12%,11%,10%,9%,10%,8%,10%,9%,8%,7%,8%,8%,8%,9%,8%,10%,8%,8%,8%,8%
,Miscellaneous Inorganic Wastes,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,3%,3%,3%,3%,2%,3%,2%,2%,2%,2%
,"a Discards after materials and compost recovery. In this table, discards include combustion with energy recovery. Does not include construction & demolition debris, industrial process wastes, or certain other wastes.",,,,,,,,,,,,,,,,,,,,,,,,,,
,b Data for all years except 2011 are from the EPA’s Advancing Sustainable Materials Management: Facts and Figures 2015 Tables and Figures report (Table 4) published in July 2018 (EPA 2018c). ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c 2011 data are not included in the most recent Advancing Sustainable Materials Management: Facts and Figures report (2014), thus data from the 2013 report (Table 3) was kept in place for 2011 (EPA 2015b).",,,,,,,,,,,,,,,,,,,,,,,,,,
,"d Includes electrolytes in batteries and fluff pulp, feces, and urine in disposable diapers. Details may not add to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: 2015 is the latest year of available data.,,,,,,,,,,,,,,,,,,,,,,,,,,
