Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,CO2,-0.1,0.7,0.6,-3.3,-3,-2.5,-1.1,-2,-2.4,-2.7,-3.3,-2.6,-1.2,-0.1,-1.2,-1.5,-1.9,-3.1,-4.5,-1.8,-1,1.9,5,3.3,3.3,2.2,-4.2,-1
,Fossil Fuel Combustion,-1.6,-0.7,-0.7,-4.4,-4,-3.4,-2,-2.8,-3,-3.1,-3.5,-3.6,-2.3,-1,-1.9,-2.2,-2.4,-3.6,-5.1,-2.2,-0.9,1,2.3,0.5,-1,-2.1,-4.2,-2.1
,Transportation,-0.9,-0.8,-0.9,-0.7,-0.8,-0.7,-0.7,-0.9,-0.8,-0.8,-0.8,-0.8,-0.5,-0.6,-0.9,-0.9,-0.9,-0.8,-0.8,-0.3,0.2,0.4,1.1,0.1,-0.9,+,-0.4,-0.6
,Electric Power Sector,1.5,1.6,1.4,-1.5,-1.9,-1.4,-0.2,-0.9,-1.4,-1.4,-1.3,-1.7,-0.9,0.6,0.9,1.2,2,1.3,1.2,3.8,2.8,3.9,4.6,5.1,4.4,-1.5,-3.6,0.7
,Industrial,-1.4,-1,-1,-1.7,-1.2,-1.3,-1,-0.9,-0.8,-0.8,-1.1,-1,-1.1,-1.2,-1.8,-2.3,-3.1,-3.5,-4.8,-4.8,-3.3,-3.4,-2.6,-3.2,-5.4,-1.6,-1.5,-2.1
,Residential,-0.2,0.1,0.1,-0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,+,0.1,0.1,0.2,0.3,0.7,-0.1,-0.4,1.5,1,0.4,0.2
,Commercial,-0.7,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.3,-0.1,+,-0.1,-0.2,-0.3,-0.4,-0.7,-0.8,-1,-0.9,-0.6,-0.8,-1.1,-0.7,+,0.9,-0.4
,U.S. Territories,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Non-Energy Use of Fuels,+,+,+,+,+,+,+,+,+,+,+,0.9,1.2,1,0.9,0.7,0.6,0.6,0.6,0.5,-0.1,-0.1,0.8,+,1,1.3,1.5,0.4
,Natural Gas Systems,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,+,0.2
,Cement Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Lime Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Other Process Uses of Carbonates,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.1,+,+
,Glass Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Soda Ash Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Carbon Dioxide Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,-0.2,0.1,0.1,+
,Titanium Dioxide Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,+
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Iron and Steel Production & Metallurgical Coke Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ammonia Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-1.1,-0.4,-0.5,-0.2,-0.2,-1.4,-0.1
,Urea Consumption for Non-Agricultural Purposes,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,1.1,0.4,0.5,0.3,0.4,1.2,0.1
,Phosphoric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Petrochemical Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NC,NC,NC,NC,NC,NC,NC,+
,Silicon Carbide Production and Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Lead Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Zinc Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Petroleum Systems,1.3,1.2,1.1,0.9,0.8,0.7,0.7,0.6,0.4,0.1,+,-0.1,-0.2,-0.3,-0.3,-0.1,-0.2,-0.2,-0.1,-0.3,-0.2,0.8,1.8,2.5,3.3,2.9,-0.6,0.6
,Abandoned Oil and Gas Wells,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
