"Table 9-2:  Revisions to U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,Forest Land Remaining Forest Land,23.3,23,29.4,27.2,25.3,38.2,17.5,18.5,19.3,19.4,2.3,16.6,0.9,102.5,47.4,18.2,29.9,26,63.8,39,80.4,51.3,59.5,52.4,98.6,11.1,18.9,35.6
,Changes in Forest Carbon Stocksa,26.1,26.9,29,27.9,27.5,38.5,17.8,18.7,20.4,22.2,3.3,19.7,5.6,102.7,53.9,25.2,33,32.6,66.6,42.7,80.3,55.6,62.7,54.2,100.5,21,41.5,39.1
,Non-CO2 Emissions from Forest Firesb,-2.8,-3.8,0.3,-0.7,-2.2,-0.3,-0.3,-0.2,-1.1,-2.8,-1,-3.2,-4.7,-0.2,-6.5,-7,-3.1,-6.6,-2.8,-3.7,0.1,-4.2,-3.2,-1.8,-1.9,-9.9,-22.6,-3.6
,N2O Emissions from Forest Soilsc,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Non-CO2 Emissions from Drained Organic Soilsd,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Forest Land,-27.1,-26.7,-26.5,-24.1,-22.3,-20,-13.1,-11.2,-11.4,-12.7,-14.1,-20.6,-21.9,-23.1,-21.8,-38.4,-40.4,-41,-43.3,-43.8,-44.2,-44.9,-45.5,-45.5,-45.5,-45.6,-45.6,-30.4
,Changes in Forest Carbon Stockse,-27.1,-26.7,-26.5,-24.1,-22.3,-20,-13.1,-11.2,-11.4,-12.7,-14.1,-20.6,-21.9,-23.1,-21.8,-38.4,-40.4,-41,-43.3,-43.8,-44.2,-44.9,-45.5,-45.5,-45.5,-45.6,-45.6,-30.4
,Cropland Remaining Cropland,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Changes in Mineral and Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Cropland,32.3,32.5,32.8,33.5,33.7,34.4,34.2,34.6,35.1,36.7,37.6,39.2,40,40.6,40.4,40.8,40.7,41.1,44.3,44.4,44.3,44.2,43.7,43.7,43.6,43.6,43.6,39.1
,Changes in all Ecosystem Carbon Stocksf,32.3,32.5,32.8,33.5,33.7,34.4,34.2,34.6,35.1,36.7,37.6,39.2,40,40.6,40.4,40.8,40.7,41.1,44.3,44.4,44.3,44.2,43.7,43.7,43.6,43.6,43.6,39.1
