Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,5121.2,5071.6,5174.7,5281.4,5375,5436.7,5625,5701.9,5749.9,5829.5,5997.3,5899.9,5942.4,5991.2,6105.4,6130.6,6050.4,6127.9,5928.3,5493.5,5700.1,5572.6,5371.8,5522.9,5572.1,5423,5306.7,5270.7
,Fossil Fuel Combustion,4738.8,4689.4,4792.4,4910.7,4986,5037.6,5230.3,5293.9,5330.4,5397.8,5590.2,5521.4,5558.3,5618.8,5707.1,5744.8,5657.8,5749.4,5561.5,5191,5358.5,5228.4,5026.7,5157.4,5199.3,5047.1,4961.9,4912
,Transportation,1469.1,1422.5,1477.8,1508.7,1553.8,1580.5,1627.2,1643.3,1678.6,1746,1779.4,1758.4,1799.9,1792.5,1837.2,1857,1852.7,1854.9,1760.2,1687.5,1697.4,1677.2,1666.5,1682.7,1721.6,1734,1779,1800.6
,Electric Power Sector,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296,2257.1,2272.1,2303.6,2335,2400,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.2,2038.3,2037.1,1900.6,1808.9,1732
,Industrial,857.5,840,871,873.1,882.4,894.9,930.2,927.5,890.6,856.7,872.1,868,854.8,854,878.1,853.4,877.7,871.5,825.7,750.1,800.3,801,810.4,840,819.6,807.9,807.6,810.7
,Residential,338.2,347.2,353.5,365.6,356.9,352.9,383.1,364.7,331.4,350.6,370.9,362.2,360.3,379.3,367.5,357.9,321.3,341.4,347.7,336.5,334.9,326.3,282.4,329.3,346.8,317.8,292.9,294.5
,Commercial,226.5,231,226.2,222.9,224.7,227.8,237.6,237.8,220.2,220.8,236.3,228.2,228.8,239.8,237.4,226.8,211.8,223.5,227.9,228.4,224.9,224.9,200.6,224.6,232.9,245.5,232.1,232.9
,U.S. Territories,27.6,31.4,33.1,34.2,37.7,34.3,32.1,33,33.2,34,35.5,47.5,42.4,49.6,52,49.7,49.9,47,40.6,43.1,42.4,40.9,43.5,42.5,41.4,41.4,41.4,41.4
,Non-Energy Use of Fuels,119.6,129.7,125.8,116.2,125.4,128.3,123.8,132.3,149.7,163,140.2,132.6,136.3,129.9,148.1,139.6,140.9,123.4,125.9,106.7,114.2,109.6,108.8,123.5,119.9,126.9,113.7,123.2
,Iron and Steel Production & Metallurgical Coke Production,101.6,92.2,93.1,89.1,92,95.8,93.8,95.2,88.9,86.8,88.3,77.8,73.9,70.7,70.4,68.2,70.9,72.7,68.2,43.8,56.9,61.2,55.6,53.5,58.4,47.8,42.3,41.8
