Table ES-4:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Energy,5339.8,5300.8,5399.8,5496.2,5585.2,5631.4,5817.7,5887.8,5931.3,6001.8,6168.6,6090.4,6121.8,6174.2,6280,6308,6223.9,6291.2,6117.2,5713.9,5894.4,5751.1,5538.3,5695,5736.4,5584.7,5465.3,5424.8
,Fossil Fuel Combustion,4738.8,4689.4,4792.4,4910.7,4986,5037.6,5230.3,5293.9,5330.4,5397.8,5590.2,5521.4,5558.3,5618.8,5707.1,5744.8,5657.8,5749.4,5561.5,5191,5358.5,5228.4,5026.7,5157.4,5199.3,5047.1,4961.9,4912
,Natural Gas Systems,223.1,224.8,222.8,222.5,222.5,213.5,208.6,206.8,199.7,199,197,198.7,195.6,193.6,192.8,194,196.3,193.8,197,188.1,186.3,188.3,185.6,190.8,190.6,192.2,191.2,191.9
,Non-Energy Use of Fuels,119.6,129.7,125.8,116.2,125.4,128.3,123.8,132.3,149.7,163,140.2,132.6,136.3,129.9,148.1,139.6,140.9,123.4,125.9,106.7,114.2,109.6,108.8,123.5,119.9,126.9,113.7,123.2
,Petroleum Systems,51,51.1,49.8,48.6,48,47.6,48,49,47.3,45.2,46.1,46.8,46,46.9,47.2,48.3,49.6,50.1,52,48.6,51.8,56.1,60.1,66.8,71.7,71.2,60.4,61
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,64.6,61.2,53.8,55.7
,Stationary Combustion,33.7,33.8,34.3,34.6,34.9,35.1,36.1,35.8,35.5,35.7,37.5,36.6,37.8,39.3,40.8,42.2,41.4,42.2,42,39.6,42.7,41.2,37.9,41.5,41.9,39,38,36.4
,Mobile Combustion,55,56.6,59.6,61.4,63.2,64.7,65.8,66.5,66.6,63.4,62.2,59.6,57.4,55.1,52,48.6,45.9,41,37.5,35.2,33.7,31.9,28.9,26.6,24.3,22.4,21.2,20.1
,Incineration of Waste,8.4,8.3,9.9,10.2,11.3,11.7,12.3,12.3,11.2,11.4,11.5,11.8,12.2,12.5,12.8,12.9,12.9,13.1,12.2,11.7,11.4,10.8,10.7,10.6,10.7,11.1,11.1,11.1
,Abandoned Oil and Gas Wells,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7,7,7,7,7,7,7,7.1,7.1,7.2,6.9
