"Table ES-5:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Carbon Stock Changea,-814.8,-824.7,-802.3,-780.6,-816.3,-760.2,-799.8,-774.4,-774.3,-770.1,-787.3,-733.2,-743.8,-647.1,-687.5,-756.1,-757.3,-720.9,-671.5,-700.3,-682,-747.2,-749,-731,-687.8,-739.4,-738.1,-729.6
,Forest Land Remaining Forest Land,-671.6,-673.9,-668.1,-670.7,-666.1,-650.4,-656,-647.2,-645.1,-633.1,-612.4,-596,-608.9,-525.9,-574.8,-639.4,-633.1,-615.6,-565,-600.4,-588.2,-614.4,-604.1,-616.7,-568.8,-645.2,-628.9,-621.1
,Land Converted to Forest Land,-119.1,-119.1,-119.1,-119.2,-119.3,-119.4,-119.5,-119.5,-119.5,-119.6,-119.7,-119.7,-119.8,-119.8,-119.9,-120,-120.1,-120.1,-120.1,-120.2,-120.3,-120.4,-120.4,-120.5,-120.5,-120.6,-120.6,-120.6
,Cropland Remaining Cropland,-40.9,-48.1,-40,-21.1,-32.8,-26.3,-34.5,-33.8,-22.7,-42.3,-47.7,-36,-32.1,-24,-23,-26.5,-22.2,-20.1,-8.5,-3.2,-3.4,-19.1,-21.4,-11.4,-12,-6.3,-9.9,-10.3
,Land Converted to Cropland,75.6,76.2,78.3,73,69.7,75.6,72.6,74.2,68.3,68.3,68,67.1,66.8,68.1,67.2,66.7,67.6,66.1,66.4,65.8,67.5,67.4,66.5,66.9,66.7,66.7,67.3,66.9
,Grassland Remaining Grassland,-4.2,-6.9,-1.8,6.4,-19.5,3.6,-17.3,-4.2,-12,0.2,-29.4,-5.4,-7.3,-4.1,4.1,5.5,-11.7,4.8,-7.1,-2.4,4.5,-12.5,-20.8,-3.7,-7.5,9.6,-1.6,-0.1
,Land Converted to Grassland,8.7,8.6,8.9,8.2,6.3,7.6,6.6,6.8,5.6,5.2,3.2,4.1,4,4.4,5,5.1,4.1,5.9,6.3,6.8,6.9,6.9,6.8,8.3,7.9,9.8,8.5,8.3
,Wetlands Remaining Wetlands,-4,-4.1,-4.2,-4.1,-4.2,-4.1,-7.4,-7.3,-7.2,-7.2,-7.1,-5.7,-5.8,-5.8,-5.6,-5.7,0.6,0.8,0.8,0.8,0.9,-4.1,-4.3,-4.3,-4.3,-4.4,-4.4,-4.4
,Land Converted to Wetlands,(+),(+),(+),(+),(+),(+),-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,Settlements Remaining Settlements,-122.1,-121.7,-122.3,-120.9,-120,-118.4,-118.1,-119,-119.3,-120.9,-123.4,-124.2,-125.3,-125,-126.1,-127.8,-129.2,-129.8,-131.5,-134.6,-136.4,-137,-137.1,-135.9,-135.8,-135.4,-134.7,-134.5
,Land Converted to Settlements,62.9,64.4,66.1,67.9,69.7,71.6,73.9,75.8,77.7,79.4,81.2,82.6,84.6,85,85.7,86,86.7,87.1,87.2,87,86.6,86,85.9,86.4,86.5,86.5,86.4,86.2
,CH4,5,4.9,5.4,4,8.3,4.2,7.5,4,5.1,7,11.5,6.1,12.5,10.2,11.1,9,10.6,12,9.8,8.5,7,8.6,13,9.9,10.1,16.5,8.8,8.8
,Forest Land Remaining Forest Land: Forest Firesb,1.5,1.4,1.8,0.5,4.5,0.6,3.6,0.4,1.5,3.1,7.5,2.3,8.8,6.5,7.5,5.2,6.2,8,6,4.6,3.3,4.3,8.9,6.1,6.1,12.6,4.9,4.9
,Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6
,Grassland Remaining Grassland: Grassland Firesc,0.1,0.1,0.1,0.1,0.3,0.1,0.5,0.1,0.1,0.4,0.4,0.2,0.2,0.2,0.1,0.3,0.8,0.5,0.3,0.4,0.2,0.8,0.6,0.2,0.4,0.3,0.3,0.3
,Land Converted to Wetlands: Land Converted to Coastal Wetlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Forest Land Remaining Forest Land: Drained Organic Soilsd,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,2.8,2.8,3.3,2.6,5.7,2.9,5.4,2.9,3.5,5.1,8.4,5,9.3,7.8,8.3,7,8.2,9.2,7.4,6.5,5.6,7,9.9,7.6,7.7,11.8,6.7,6.7
