Table ES-6:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Transportation,1527.1,1480.9,1540.5,1577.5,1632.2,1667.3,1723.5,1750.0,1792.4,1863.4,1901.2,1881.8,1923.2,1914.2,1958.2,1976,1970,1969.3,1872,1795.9,1803.4,1775.8,1756.3,1765.4,1799.9,1809.3,1849.7,1866.2
,Electric Power Industry,1875.5,1871.6,1886.5,1962.3,1987.1,2003.8,2076.8,2143.0,2229.5,2243.6,2349.1,2309.7,2325.7,2356.8,2389.9,2455.9,2399.3,2466,2412.1,2195.9,2312.2,2209.8,2070.8,2088.7,2088.9,1949.5,1857.2,1778.3
,Industry,1628.6,1601.1,1631.5,1604.9,1629.8,1648,1675.4,1673.0,1646.6,1599.2,1588.8,1538.5,1522.1,1498.1,1546.5,1508.4,1538.4,1529,1471.6,1319.2,1415.5,1421.2,1415,1469.5,1459.3,1451.2,1414.1,1436.5
,Agriculture,534.9,534.6,538.7,551.5,544.0,556.7,559.1,554.0,575.5,553.2,550.4,558.2,560.4,564.6,587,570,582.8,597.2,583.6,586.1,593.7,579.2,563.2,572.6,569.2,585.2,581.7,582.2
,Commercial,426.9,434.0,429.4,424.6,427.2,426.4,433.8,426.2,400.2,396.3,410.2,398.8,399.3,415,411.8,400.7,386.9,400.9,408,410.8,412.1,407,386.5,409.6,419.5,432.2,416.1,416
,Residential,344.7,354.3,360.8,372.2,363.1,367.4,398.8,380.4,346.0,365.7,386.5,376.7,374.1,392.6,380.2,370,333.9,355.5,363.8,354.3,355,348.3,305.6,356.3,376.6,349.7,326.9,330.9
,U.S. Territories,33.3,39.1,37.3,39.1,41.5,40.4,40.2,41.8,42.2,50.0,45.7,53.1,51.9,57.9,59.6,58.1,58.9,52,49.5,47.2,46.6,46,48.5,48.1,46.6,46.6,46.6,46.6
,Total Emissions,6371,6315.6,6424.9,6532.1,6624.8,6710.1,6907.7,6968.5,7032.5,7071.5,7232,7116.8,7156.7,7199.3,7333.1,7339,7270.3,7370,7160.6,6709.4,6938.6,6787.4,6546,6710.2,6760,6623.8,6492.3,6456.7
,LULUCF Sector Net Totala,-807,-817.1,-793.5,-773.9,-802.3,-753.1,-786.9,-767.5,-765.7,-757.9,-767.4,-722.1,-722.1,-629.1,-668,-740,-738.5,-699.7,-654.2,-685.3,-669.4,-731.6,-726.1,-713.5,-670,-711.1,-722.6,-714.1
,Net Emissions (Sources and Sinks),5564,5498.5,5631.4,5758.2,5822.6,5957,6120.8,6200.9,6266.9,6313.6,6464.6,6394.7,6434.6,6570.1,6665,6599,6531.8,6670.2,6506.4,6024.1,6269.2,6055.8,5819.9,5996.8,6090,5912.7,5769.7,5742.6
,Notes: Total emissions presented without LULUCF. Total net emissions presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a The LULUCF Sector Net Total is the net sum of all CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
