"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"ALBANIA","VLORE","13600","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1015.0","","-9999.9","1"
"ALBANIA","KUKES","13610","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1014.9","","-9999.9","1"
"ALBANIA","TIRANE","13615","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1014.7","","-9999.9","1"
"ALBANIA","SHKODER","13622","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1016.0","","-9999.9","1"
"ALBANIA","GJIROKASTRA","13625","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1014.4","","-9999.9","1"
"ALBANIA","KORCE","13629","","1961-1990","","Mean Value","hPa","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","1015.0","","-9999.9","1"
"ALGERIA","SKIKDA","60355","","1961-1990","","Mean Value","hPa","1020.6","","1018.2","","1017.3","","1014.4","","1014.7","","1014.9","","1014.9","","1014.5","","1016.7","","1017.6","","1018.7","","1019.6","","1016.9","","1016.8",""
"ALGERIA","ANNABA (Les Salines)","60360","","1961-1990","","Mean Value","hPa","1019.0","","1017.0","","1016.5","","1014.0","","1015.1","","1015.9","","1015.9","","1015.3","","1016.8","","1017.0","","1017.4","","1017.9","","1016.5","","1016.5",""
"ALGERIA","ALGER ( dar el beida )","60390","","1961-1990","","Mean Value","hPa","1020.0","","1017.8","","1017.1","","1014.3","","1014.9","","1015.4","","1015.4","","1014.7","","1016.5","","1017.1","","1017.7","","1019.0","","1016.7","","1016.7",""
"ALGERIA","BEJAIA","60402","","1968-1990","","Mean Value","hPa","1019.8","","1017.5","","1016.6","","1014.4","","1014.9","","1015.8","","1015.9","","1015.2","","1016.9","","1017.3","","1018.2","","1019.2","","1016.8","","1016.8",""
